EquipmentID,ManufacturerID,ModelID
ARV0029600,VAL-MATIC,MODEL 38  
ARV0029601,VAL-MATIC,MODEL 38  
ARV0029602,VAL-MATIC,MODEL 38  
ARV0029603,VAL-MATIC,MODEL 38  
ARV0029604,VAL-MATIC,MODEL 38  
ARV0029605,UNKNOWN,UNKNOWN
ARV0029606,VAL-MATIC,MODEL 38  
ARV0029607,VAL-MATIC,MODEL 38  
ARV0029608,VAL-MATIC,MODEL 38  
ARV0029609,VAL-MATIC,MODEL 38  
ARV0029610,VAL-MATIC,MODEL 38  
ARV0029611,VAL-MATIC,MODEL 25
ARV0029612,VAL-MATIC,MODEL 38  
ARV0029613,UNKNOWN,UNKNOWN
ARV0029614,VAL-MATIC,MODEL 38  
ARV0029615,VAL-MATIC,MODEL 38  
ARV0029616,VAL-MATIC,MODEL 38  
ARV0029617,VAL-MATIC,201C  
ARV0029618,VAL-MATIC,MODEL 38  
ARV0029619,VAL-MATIC,MODEL 38  
ARV0029620,VAL-MATIC,201C  
ARV0029621,VAL-MATIC,MODEL 38  
ARV0029622,VAL-MATIC,MODEL 38  
ARV0029623,VAL-MATIC,MODEL 38  
ARV0029625,VAL-MATIC,MODEL 38  
ARV0029626,VAL-MATIC,MODEL 38  
ARV0029627,VAL-MATIC,MODEL 38  
ARV0029628,VAL-MATIC,MODEL 38  
ARV0029630,UNKNOWN,UNKNOWN
ARV0029631,UNKNOWN,UNKNOWN
ARV0029632,UNKNOWN,UNKNOWN
ARV0029633,UNKNOWN,UNKNOWN
ARV0029634,UNKNOWN,UNKNOWN
ARV0029635,UNKNOWN,UNKNOWN
ARV0029636,UNKNOWN,UNKNOWN
ARV0029637,UNKNOWN,UNKNOWN
ARV0029638,CRISPIN,UNKNOWN
ARV0029639,VAL-MATIC,MODEL 38  
ARV0029640,VAL-MATIC,MODEL 38  
ARV0029641,VAL-MATIC,MODEL 38  
ARV0029642,VAL-MATIC,MODEL 25  
ARV0029643,VAL-MATIC,MODEL 38  
ARV0029644,VAL-MATIC,MODEL 201C  
ARV0029645,VAL-MATIC,MODEL 38  
ARV0029646,UNKNOWN,UNKNOWN
ARV0029647,UNKNOWN,UNKNOWN
ARV0029648,CRISPIN,UNKNOWN
ARV0029649,CRISPIN,UNKNOWN
ARV0029650,CRISPIN,UNKNOWN
ARV0029652,VAL-MATIC,MODEL 38  
ARV0029653,VAL-MATIC,MODEL 38  
ARV0029654,VAL-MATIC,MODEL 38  
ARV0029655,UNKNOWN,UNKNOWN
ARV0029656,UNKNOWN,UNKNOWN
ARV0029657,UNKNOWN,UNKNOWN
ARV0029658,VAL-MATIC,MODEL 25  
ARV0029659,VAL-MATIC,MODEL 25  
ARV0029660,VAL-MATIC,MODEL 25  
ARV0029661,UNKNOWN,UNKNOWN
ARV0029662,VAL-MATIC,MODEL 38  
ARV0029663,VAL-MATIC,MODEL 38  
ARV0029664,UNKNOWN,UNKNOWN
ARV0029665,UNKNOWN,UNKNOWN
ARV0029666,UNKNOWN,MODEL 202C  
ARV0029667,VAL-MATIC,MODEL 38  
ARV0029668,VAL-MATIC,MODEL 38  
ARV0029669,VAL-MATIC,MODEL 38  
ARV0029670,VAL-MATIC,MODEL 38  
ARV0029671,VAL-MATIC,MODEL 38  
ARV0029672,VAL-MATIC,MODEL 38  
ARV0029673,VAL-MATIC,MODEL 38  
ARV0029674,VAL-MATIC,MODEL 38  
ARV0029675,VAL-MATIC,MODEL 38  
ARV0029676,VAL-MATIC,MODEL 38  
ARV0029677,VAL-MATIC,MODEL 38  
ARV0029678,VAL-MATIC,MODEL 38  
ARV0029679,VAL-MATIC,MODEL 38  
ARV0029680,VAL-MATIC,MODEL 38  
ARV0029681,VAL-MATIC,MODEL 38  
ARV0029682,VAL-MATIC,MODEL 38  
ARV0029683,VAL-MATIC,MODEL 38  
ARV0029684,VAL-MATIC,MODEL 38  
ARV0029684,VAL-MATIC,MODEL 38  
ARV0029685,VAL-MATIC,MODEL 38  
ARV0029686,VAL-MATIC,MODEL 38  
ARV0029687,VAL-MATIC,MODEL 38  
ARV0029688,VAL-MATIC,MODEL 38  
ARV0029689,VAL-MATIC,MODEL 38  
ARV0029690,VAL-MATIC,MODEL 38  
ARV0029690,VAL-MATIC,MODEL 38  
ARV0029691,VAL-MATIC,MODEL 38  
ARV0029692,VAL-MATIC,MODEL 38  
ARV0029693,VAL-MATIC,MODEL 38  
ARV0029694,VAL-MATIC,MODEL 38  
ARV0029695,VAL-MATIC,MODEL 38  
ARV0029696,VAL-MATIC,MODEL 38  
ARV0029697,VAL-MATIC,MODEL 38  
ARV0029698,VAL-MATIC,MODEL 38  
ARV0029699,VAL-MATIC,MODEL 38  
ARV0029700,VAL-MATIC,MODEL 38  
ARV0029701,VAL-MATIC,MODEL 38  
ARV0029702,VAL-MATIC,MODEL 38  
ARV0029703,VAL-MATIC,MODEL 38  
ARV0029704,VAL-MATIC,MODEL 38  
ARV0029705,VAL-MATIC,MODEL 202C  
ARV0029706,VAL-MATIC,MODEL 202C  
ARV0029707,VAL-MATIC,MODEL 202C  
ARV0029708,VAL-MATIC,MODEL 202C  
ARV0029709,VAL-MATIC,MODEL 202C  
ARV0029710,VAL-MATIC,MODEL 202C  
ARV0029711,VAL-MATIC,MODEL 202C  
ARV0029712,VAL-MATIC,MODEL 202C  
ARV0029713,VAL-MATIC,MODEL 202C  
ARV0029714,VAL-MATIC,MODEL 202C  
ARV0029715,VAL-MATIC,MODEL 202C  
ARV0029716,VAL-MATIC,MODEL 38  
ARV0029717,VAL-MATIC,MODEL 202C  
ARV0029718,VAL-MATIC,MODEL 202C  
ARV0029719,VAL-MATIC,MODEL 202C  
ARV0029720,VAL-MATIC,MODEL 202C  
ARV0029721,VAL-MATIC,MODEL 202C  
ARV0029722,VAL-MATIC,MODEL 202C  
ARV0029723,VAL-MATIC,MODEL 202C  
ARV0029724,VAL-MATIC,MODEL 202C  
ARV0029725,VAL-MATIC,MODEL 202C  
ARV0029726,VAL-MATIC,MODEL 202C  
ARV0029727,VAL-MATIC,MODEL 202C  
ARV0029728,VAL-MATIC,MODEL 202C  
ARV0029729,VAL-MATIC,MODEL 202C  
ARV0029730,UNKNOWN,UNKNOWN
ARV0029731,UNKNOWN,UNKNOWN
ARV0029732,UNKNOWN,UNKNOWN
ARV0029733,UNKNOWN,UNKNOWN
ARV0029734,UNKNOWN,UNKNOWN
ARV0029735,UNKNOWN,UNKNOWN
ARV0029736,UNKNOWN,UNKNOWN
ARV0029737,VAL-MATIC,MODEL 201C  
ARV0029738,VAL-MATIC,MODEL 201C  
ARV0029739,VAL-MATIC,MODEL 201C  
ARV0029740,UNKNOWN,UNKNOWN
ARV0029741,UNKNOWN,UNKNOWN
ARV0029742,UNKNOWN,UNKNOWN
ARV0029743,UNKNOWN,UNKNOWN
ARV0029744,UNKNOWN,UNKNOWN
ARV0029745,UNKNOWN,UNKNOWN
ARV0029750,UNKNOWN,UNKNOWN
ARV0029751,UNKNOWN,UNKNOWN
ARV0029752,UNKNOWN,UNKNOWN
ARV0029753,UNKNOWN,UNKNOWN
ARV0029754,UNKNOWN,UNKNOWN
ARV0029755,VAL-MATIC,MODEL 201C  
ARV0029756,CRISPIN,MODEL V-10  
ARV0029757,CRISPIN,MODEL V-10  
ARV0029758,CRISPIN,MODEL V-10  
ARV0029759,CRISPIN,MODEL V-10  
ARV0029760,CRISPIN,MODEL V-10  
ARV0029761,CRISPIN,MODEL V-10  
ARV0029762,CRISPIN,MODEL V-10  
ARV0029763,CRISPIN,MODEL V-10  
ARV0029764,CRISPIN,MODEL V-10  
ARV0029765,CRISPIN,MODEL V-10  
ARV0029766,CRISPIN,MODEL V-10  
ARV0029767,CRISPIN,MODEL V-10  
ARV0029768,CRISPIN,MODEL V-10  
ARV0029770,CRISPIN,MODEL V-10  
ARV0029771,CRISPIN,MODEL V-10  
ARV0029772,VAL-MATIC,MODEL 201C  
ARV0029773,VAL-MATIC,MODEL 201C  
ARV0029774,UNKNOWN,UNKNOWN
